car_model,price,year_model,kms
Kia Rio Emotion AT,$64.900.000,2019,29.198
Kia Rio 1.5 Stylus,$28.900.000,2015,65.000
Kia Rio 1.4 4 p Automática,$55.000.000,2017,88.000
Kia Rio 1.4,$61.000.000,2019,39.000
Kia Rio 1.4,$59.500.000,2018,49.000
Kia Rio 1.5 Stylus,$24.900.000,2012,140.000
Kia Rio 1.4 Vibrant At,$59.000.000,2020,44.000
Kia Rio 1.4 Zenith Hb 4 p,$64.800.000,2020,31.000
Kia Rio 1.5 Hb,$8.300.000,2001,200.000
Kia Rio Xcite,$29.000.000,2012,104.614
Kia Rio 1.4 5p AUTOMÁTICO,$39.900.000,2014,99.000
Kia Rio Spice 1.4cc Con Caja De 6,$37.800.000,2013,118.000
Kia Rio 1.4 4 p,$49.000.000,2016,80.900
Kia Rio R R,$43.999.000,2016,66.000
Kia Rio Spice 1.4 Tp 1400cc 5p 2ab Ct Cr R17 2015,$45.000.000,2015,93.485
Kia Rio 1.4 Vibrant At,$62.900.000,2021,37.000
Kia Rio 1.5 Stylus,$22.500.000,2011,157.852
Kia Rio 1.4,$51.900.000,2018,90.000
Kia Rio 1.4 Vibrant Hb 4 p,$59.000.000,2020,50.059
Kia Rio 1.4 Vibrant Hb 5 p,$52.000.000,2020,80.000
Kia Rio Spice 1.2,$39.500.000,2015,70.000
Kia Rio 1.4 Vibrant At,$53.900.000,2018,51.000
Kia Rio 1.4 Sedán Vibrant 1.400 cc. Automático,$69.500.000,2022,43.400
Kia Rio Spice Rio Spice 1.25 Mecan,$43.900.000,2016,79.000
Kia Rio Spice 1.2 Sedan,$39.500.000,2014,97.000
Kia Rio 1.25 5 p,$46.500.000,2017,88.700
Kia Rio Vivrant,$62.900.000,2022,27.000
Kia Rio 1.4 Zenith Hb 5 p,$76.900.000,2023,5.100
Kia Rio Spice R Spice R,$48.900.000,2016,81.700
Kia Rio Sedán Mecánico 1250,$41.900.000,2016,101.600
Kia Rio 1.4,$57.900.000,2021,27.120
Kia Rio 1.4 5 p,$49.500.000,2016,75.100
Kia Rio 1.4 Sc Hb,$51.000.000,2018,56.000
Kia Rio 1.4 Vibrant Mt,$52.500.000,2018,55.473
Kia Rio 1.25 5 p,$43.900.000,2016,85.000
Kia Rio 1.25 5 p,$46.000.000,2017,41.000
Kia,$39.990.000,2016,102.000
Kia Rio 1.4 Vibrant Hb 4 p,$65.000.000,2020,50.000
Kia Rio 1.25,$44.000.000,2015,109.341
Kia Rio Spice ,$42.000.000,2015,54.656
Kia Rio 1.4 Vibrant Mt,$47.900.000,2018,130.000
Kia Rio 1.4 Vibrant At,$62.990.000,2022,30.000
Kia Rio Spice Mecánico 1400,$39.990.000,2014,104.000
Kia Rio 1.5 Stylus,$29.500.000,2015,82.000
Kia Rio 1.4 Vibrant At,$59.900.000,2021,22.500
Kia Rio 1.4 Vibrant Hb 5 p,$52.500.000,2019,79.642
